Epoch,Train Loss,Train Accuracy,Train No Change Accuracy,Train Change Accuracy,Train Precision,Train Recall,Train F1,Test Loss,Test Accuracy,Test No Change Accuracy,Test Change Accuracy,Test Precision,Test Recall,Test F1
1,0.1686866730451584,97.81555055204485,99.05250549316406,38.583595275878906,0.4595788116471473,0.38583593425824025,0.41949119297006787,0.2995803952217102,95.6132911136633,98.62258911132812,38.79522705078125,0.5986753960413859,0.3879522818511905,0.4708108057104575
2,0.16301074624061584,98.25109217551719,99.6561279296875,30.970550537109375,0.6528821896274134,0.30970550914984335,0.42012008092410097,0.31912094354629517,95.83109872389353,99.32978820800781,29.773046493530273,0.7017439907150057,0.2977304593247618,0.41808084373874094
3,0.1406804621219635,96.39127839124296,96.97832489013672,68.28044128417969,0.3206051151003466,0.6828044284880959,0.43633348673079897,0.25411805510520935,92.63726064041278,94.05142974853516,65.93667602539062,0.3699100581873802,0.6593667470953664,0.4739374102924014
4,0.15379060804843903,95.30006855736386,95.88088989257812,67.48723602294922,0.2549274386178525,0.6748723592343359,0.37006564710169243,0.3097056448459625,87.29085815520553,88.10783386230469,71.86567687988281,0.24246231814867084,0.7186567802430485,0.3625922930520568
5,0.12644171714782715,98.20142406918278,99.28387451171875,46.36832809448242,0.5748597416637155,0.4636832704901766,0.5133207618140935,0.26306769251823425,95.56731269366796,97.94233703613281,50.72502517700195,0.5662826292003496,0.5072502455623832,0.5351433746881302
6,0.11811267584562302,97.94718487324145,98.81075286865234,56.59492492675781,0.49844946254213995,0.5659492323512962,0.5300590691157937,0.2545907497406006,94.87161370305527,96.826171875,57.968013763427734,0.491702334865582,0.579680133938406,0.5320790355117422
7,0.1308431774377823,96.36224638357753,96.9625244140625,67.61773681640625,0.3173536247877879,0.6761773319622099,0.4319690812644488,0.25436776876449585,94.09722864975707,95.69483947753906,63.933040618896484,0.44025578149706773,0.6393304116377132,0.5214385137570269
8,0.11292918026447296,98.37939888736061,99.35140228271484,51.83477783203125,0.6253228380731283,0.5183477962799257,0.5668322773052048,0.2411726415157318,96.17035089343096,98.29412841796875,56.07167434692383,0.6351581054936926,0.5607167570733629,0.5956205022602261
9,0.10899193584918976,97.62009502077696,98.26892852783203,66.55060577392578,0.44532392773571505,0.6655060227197556,0.5335933836638407,0.2419990599155426,94.68583585691026,96.31503295898438,63.92526626586914,0.4788394711809128,0.6392526610150603,0.5475387892234829
10,0.10836630314588547,98.16258760808118,98.98697662353516,58.68648910522461,0.5474736537981447,0.5868648781925225,0.5664853129621218,0.2242956906557083,95.35602314694714,97.07171630859375,62.96245574951172,0.5324478926951147,0.6296245422432092,0.5769730881264999
11,0.10411956161260605,97.87009628170101,98.55966186523438,64.85022735595703,0.4846041154556526,0.6485022882125482,0.5546996764519796,0.24539832770824432,94.90426920123738,96.5549087524414,63.738922119140625,0.4949246955219796,0.6373892377588124,0.5571947233975066
12,0.11385878175497055,98.46996398923896,99.56208801269531,46.173484802246094,0.6876892073443798,0.4617348319471757,0.5525029053346621,0.2538436949253082,96.19853500004562,98.45570373535156,53.581321716308594,0.6475957487462686,0.535813232637638,0.5864251109068837
13,0.13050784170627594,97.99296564295625,99.00100708007812,49.7227668762207,0.5096653495984071,0.4972276846656684,0.5033696988883342,0.2482680380344391,96.00051623062994,98.1751708984375,54.94118118286133,0.6145866854530326,0.5494118165396308,0.580174607953146
14,0.09787885844707489,97.6045518251476,98.14009857177734,71.95992279052734,0.44689607780159696,0.7195992470848593,0.5513714015827852,0.21256349980831146,94.18738650421915,95.35652160644531,72.1131820678711,0.45131152965296206,0.7211318417308326,0.5551741303955282
15,0.10219623148441315,97.06012787123173,97.46726989746094,77.56409454345703,0.3900747613805451,0.775640909992964,0.5190938928117937,0.23486803472042084,93.41115032088426,94.45936584472656,73.61998748779297,0.4130579245461353,0.7361999124009652,0.5291992764220523
16,0.10599570721387863,97.48618488542014,98.02220916748047,71.81829833984375,0.43127706213954764,0.7181830209216595,0.5389240877625249,0.23979981243610382,94.7623188141296,96.09638977050781,69.5738525390625,0.4855896807896779,0.6957384883723944,0.5719721907951788
17,0.09710285067558289,97.39698527203791,97.85711669921875,75.36367797851562,0.42344847626803084,0.7536367845953081,0.5422314911366007,0.23160570859909058,94.42126765906356,95.64122772216797,71.38751220703125,0.46450620667092757,0.7138751169498949,0.562804952801275
18,0.09754530340433121,98.25320806760128,99.01315307617188,61.863224029541016,0.5669357949848443,0.618632244252407,0.5916569131268746,0.23549026250839233,95.59522304161523,97.23643493652344,64.60791778564453,0.5532145781691407,0.6460791656839852,0.5960514927050408
19,0.10017871856689453,98.35279031423335,99.17264556884766,59.09391784667969,0.5986505833257181,0.5909391594051249,0.5947698770094906,0.2723686695098877,96.10649994329285,98.473876953125,51.408451080322266,0.640820704337741,0.5140845252935734,0.5704987719086324
20,0.09291685372591019,97.60255279919606,98.04491424560547,76.41998291015625,0.4494250292215658,0.7641998472520402,0.5659912635942638,0.22107161581516266,94.2604800684136,95.40727996826172,72.60794067382812,0.4557302807840024,0.726079373018979,0.5599824903657035
21,0.08875557780265808,98.12575632378021,98.71939849853516,69.6990737915039,0.53196967923606,0.6969907449169207,0.6034009488295817,0.2419424206018448,94.87638492554416,96.27633666992188,68.44412994384766,0.49329149271992007,0.6844413229009275,0.5733542911853272
22,0.09356339275836945,98.08134719341062,98.67778778076172,69.52076721191406,0.5233614396468791,0.6952076831021066,0.5971674270903689,0.2411109358072281,95.15782187175319,96.6527328491211,66.93266296386719,0.514345405009241,0.6693266018572032,0.5816899616086743
23,0.09295424073934555,97.77762441660734,98.3172836303711,71.93586730957031,0.471670958049596,0.7193586991165876,0.569760131080077,0.23821093142032623,93.52434301178857,94.62674713134766,72.71005249023438,0.4174866071428571,0.7271004978631537,0.5304178573690574
24,0.08945141732692719,97.99854446307332,98.5359878540039,72.26331329345703,0.5075811176419651,0.7226331583346864,0.5963106644352171,0.23079080879688263,95.11630180719828,96.50281524658203,68.93785095214844,0.5107734493664202,0.6893784874393869,0.5867860845778827
25,0.09417973458766937,97.52564873312807,97.92961120605469,78.18170166015625,0.44090156818058496,0.7818169790783405,0.5638326708605207,0.2601797580718994,92.87098536173298,93.9784164428711,71.96183013916016,0.3876121142745465,0.7196182962765226,0.5038387071604454
26,0.08978108316659927,98.32910954526896,98.9908218383789,66.64291381835938,0.5796674268736661,0.6664291255479984,0.6200278070737392,0.23505041003227234,95.90805098168555,97.84799194335938,59.28044509887695,0.5933257243651268,0.592804439042216,0.5930649671553714
